Ps,Age,Gender,Degree,SNS,Format,Correct,Score,Time,Scanpath
2,17,m,A-level,3.75,t,1,3,32,
2,17,m,A-level,3.75,v,1,3,21,
3,16,m,A-level,3.00,v,0,2,37,
3,16,m,A-level,3.00,t,0,2,46,
4,21,m,BSc,4.50,t,0,0,30,
4,21,m,BSc,4.50,v,1,3,27,
5,22,m,BSc,3.00,v,0,2,47,
5,22,m,BSc,3.00,t,0,2,29,
6,16,m,A-level,3.75,t,0,0,62,
6,16,m,A-level,3.75,v,0,1,29,
7,17,m,A-level,3.50,v,0,0,28,
7,17,m,A-level,3.50,t,0,0,20,
8,17,m,A-level,2.75,t,1,3,35,
8,17,m,A-level,2.75,v,1,3,23,
9,17,f,A-level,4.75,v,1,3,29,
9,17,f,A-level,4.75,t,1,3,32,
10,18,m,A-level,4.00,t,1,3,17,
10,18,m,A-level,4.00,v,1,3,17,
11,17,m,A-level,3.50,v,0,2,34,
11,17,m,A-level,3.50,t,0,2,34,
12,19,m,BSc,4.75,t,1,3,35,
12,19,m,BSc,4.75,v,1,3,48,
13,21,m,BSc,3.75,v,1,3,45,
13,21,m,BSc,3.75,t,1,3,27,
14,21,f,BSc,4.00,t,1,3,60,
14,21,f,BSc,4.00,v,1,3,20,
15,28,m,BSc,5.75,v,1,3,49,
15,28,m,BSc,5.75,t,1,3,26,
16,23,f,BSc,2.00,v,0,0,41,
16,23,f,BSc,2.00,t,1,3,44,
17,17,m,A-level,5.25,t,1,3,30,
17,17,m,A-level,5.25,v,1,3,28,
18,19,m,BSc,3.75,t,1,3,32,
18,19,m,BSc,3.75,v,1,3,19,
19,19,m,BSc,5.25,v,0,1,30,
19,19,m,BSc,5.25,t,0,2,16,
20,19,m,A-level,4.00,t,1,3,16,
20,19,m,A-level,4.00,v,1,3,6,
21,21,m,BSc,3.50,v,1,3,38,
21,21,m,BSc,3.50,t,1,3,24,
22,19,m,BSc,3.75,t,1,3,27,
22,19,m,BSc,3.75,v,0,2,14,
23,23,m,BSc,6.00,v,1,3,38,
23,23,m,BSc,6.00,t,1,3,36,
24,24,m,BSc,5.00,t,0,1,54,
24,24,m,BSc,5.00,v,1,3,32,
25,18,f,A-level,4.50,v,1,3,39,
25,18,f,A-level,4.50,t,0,2,26,
26,30,m,BSc,3.75,t,1,3,29,
26,30,m,BSc,3.75,v,1,3,29,
27,23,m,BSc,5.00,v,1,3,30,
27,23,m,BSc,5.00,t,1,3,34,
28,21,m,A-level,5.00,t,0,2,28,
28,21,m,A-level,5.00,v,0,2,26,
29,23,f,Msc,5.25,v,0,0,30,
29,23,f,Msc,5.25,t,0,2,24,
30,23,m,Msc,5.00,t,1,3,38,
30,23,m,Msc,5.00,v,1,3,26,
31,18,m,A-level,5.25,v,0,1,24,
31,18,m,A-level,5.25,t,1,3,16,
32,17,f,A-level,4.75,t,0,1,18,
32,17,f,A-level,4.75,v,1,3,15,
33,17,m,A-level,4.00,v,1,3,38,
33,17,m,A-level,4.00,t,0,2,18,
34,17,m,A-level,6.00,t,1,3,35,
34,17,m,A-level,6.00,v,1,3,19,
35,21,m,A-level,4.25,v,1,3,24,
35,21,m,A-level,4.25,t,1,3,23,
36,17,m,A-level,5.00,v,1,3,29,
36,17,m,A-level,5.00,t,1,3,26,
37,16,m,A-level,6.00,t,1,3,21,
37,16,m,A-level,6.00,v,1,3,34,
38,17,m,A-level,4.50,v,1,3,25,
38,17,m,A-level,4.50,t,1,3,19,
39,24,f,Msc,3.25,v,0,2,54,
39,24,f,Msc,3.25,t,0,2,45,
40,25,f,Msc,3.25,t,1,3,34,
40,25,f,Msc,3.25,v,0,1,21,
41,22,f,BSc,4.75,t,1,3,35,
41,22,f,BSc,4.75,v,1,3,25,
42,24,f,MSc,3.75,t,1,3,56,
42,24,f,MSc,3.75,v,0,2,24,
43,23,m,Msc,4.50,v,0,2,39,
43,23,m,Msc,4.50,t,1,3,33,
44,24,f,Msc,3.00,t,0,2,36,
44,24,f,Msc,3.00,v,0,2,22,
45,17,m,A-level,5.25,v,1,3,48,
45,17,m,A-level,5.25,t,1,3,46,
46,36,m,PhD,3.50,t,0,0,60,
46,36,m,PhD,3.50,v,0,2,50,
47,20,m,BSc,5.50,v,1,3,42,
47,20,m,BSc,5.50,t,1,3,37,
48,26,m,Msc,4.00,t,0,2,51,
48,26,m,Msc,4.00,v,0,2,31,
49,18,f,BSc,4.00,v,0,1,42,
49,18,f,BSc,4.00,t,0,0,28,
50,30,m,Msc,4.75,t,0,0,65,
50,30,m,Msc,4.75,v,0,1,45,
